,body_neg,body_neu,body_pos,body_com,title_neg,title_neu,title_pos,title_com,Title Length,Body Length,Total Length,Title Emoji,Body Emoji,Title Ellipses,Body Ellipses,Title Hashtags,Body Hashtags,Title Exclamations,Body Exclamations,Status Rank,# Reviews,Target Rating
7712,0.091,0.877,0.031,-0.7003,0.451,0.549,0.0,-0.6249,6,85,91,0,0,0,0,0,0,0,0,0,1,1
7714,0.22,0.78,0.0,-0.802,0.451,0.549,0.0,-0.6249,6,36,42,0,0,0,0,0,0,0,0,0,1,1
7719,0.218,0.782,0.0,-0.8579,0.451,0.549,0.0,-0.6249,7,49,56,0,0,0,0,0,0,0,0,0,1,1
7720,0.156,0.674,0.17,0.0526,0.506,0.494,0.0,-0.6249,5,79,84,0,0,0,0,0,0,0,0,0,1,1
7721,0.156,0.674,0.17,0.0526,0.506,0.494,0.0,-0.6249,5,79,84,0,0,0,0,0,0,0,0,0,1,1
7722,0.154,0.806,0.04,-0.9484,0.506,0.494,0.0,-0.6249,5,151,156,0,0,0,0,0,0,0,2,0,1,1
7723,0.154,0.806,0.04,-0.9484,0.506,0.494,0.0,-0.6249,5,151,156,0,0,0,0,0,0,0,2,0,1,1
7725,0.35,0.65,0.0,-0.8829,0.451,0.549,0.0,-0.6249,6,31,37,0,0,0,0,0,0,0,2,0,1,1
7733,0.406,0.594,0.0,-0.6249,0.787,0.213,0.0,-0.5719,3,8,11,0,0,0,0,0,0,0,0,0,2,1
7736,0.0,0.787,0.213,0.807,0.0,1.0,0.0,0.0,2,35,37,0,0,0,0,0,0,0,1,3,1,5
7737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,24,32,0,0,0,1,0,0,0,0,0,1,1
7738,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6,13,19,0,0,0,0,0,0,0,0,2,1,4
7740,0.125,0.875,0.0,-0.8519,0.455,0.545,0.0,-0.3612,4,80,84,0,0,0,0,0,0,0,0,0,1,2
7741,0.0,0.765,0.235,0.8599,0.0,1.0,0.0,0.0,3,42,45,0,0,0,0,0,0,0,1,2,1,5
7742,0.136,0.753,0.111,-0.1561,0.0,0.649,0.351,0.4019,8,62,70,0,0,0,1,0,0,0,2,0,1,1
7743,0.136,0.753,0.111,-0.1561,0.0,0.649,0.351,0.4019,8,62,70,0,0,0,1,0,0,0,2,0,1,1
7745,0.078,0.779,0.143,0.3818,0.0,0.682,0.318,0.4215,7,39,46,0,0,0,0,0,0,0,0,0,5,1
7746,0.0,0.451,0.549,0.9246,0.0,0.196,0.804,0.6249,2,16,18,0,0,0,0,0,0,0,0,3,1,5
7747,0.143,0.816,0.041,-0.8569,0.0,1.0,0.0,0.0,5,102,107,0,0,0,0,0,0,1,0,0,1,1
7748,0.0,0.798,0.202,0.5106,0.0,0.602,0.398,0.5106,7,15,22,0,0,0,0,0,0,0,0,0,1,1
7749,0.047,0.846,0.107,0.6632,0.0,1.0,0.0,0.0,6,86,92,0,0,0,0,0,0,0,0,0,1,1
7750,0.063,0.888,0.048,-0.5255,0.0,1.0,0.0,0.0,4,177,181,0,0,0,0,0,0,0,1,0,1,1
7751,0.147,0.775,0.078,-0.6124,0.0,1.0,0.0,0.0,2,62,64,0,0,0,0,0,0,0,0,0,1,1
7753,0.092,0.908,0.0,-0.6892,0.0,1.0,0.0,0.0,4,56,60,0,0,0,0,0,0,0,2,0,1,1
